站点名称,街道地址,城市,州,邮编,站点状态代码,公共可达性分组,开放时间说明,二级充电桩数量,直流快充数量,充电网络,纬度,经度,最近确认日期,开放日期,连接器类型,访问代码,受限访问,EV价格说明
Adolfson & Peterson Construction,797 Ventura St,Aurora,CO,80011,E,Private,Employee and guest use only,1,,Non-Networked,39.72887,-104.779764,2024-01-09,2012-11-26,J1772,private,,Free
Town of Carbondale - Town Hall,511 Colorado Ave,Carbondale,CO,81623,E,Public,24 hours daily,1,,Non-Networked,39.401918,-107.211389,2025-11-13,2013-06-01,J1772,public,false,Free
Odell Brewing,800 E Lincoln,Fort Collins,CO,80524,E,Public,24 hours daily,2,,Non-Networked,40.589483,-105.063519,2024-11-06,2013-07-01,J1772,public,false,Free
City of Loveland - Civic Center,500 E 3rd St,Loveland,CO,80537,E,Public - Credit card at all times,24 hours daily,2,,Non-Networked,40.394378,-105.070159,2025-12-12,2013-08-01,J1772,public,false,
City of Loveland - Public Library,300 Adams St,Loveland,CO,80537,E,Public - Credit card at all times,24 hours daily,2,,Non-Networked,40.394126,-105.0691219,2025-11-13,2021-06-01,J1772,public,false,$0.20 per kWh
Denver International Airport - Garage East,8500 Pena Blvd,Denver,CO,80249,E,Public,24 hours daily; pay lot,,,Non-Networked,39.849363,-104.673806,2025-12-12,2013-11-04,J1772,public,false,Free
City of Denver - Colorado Convention Center Garage,1104 Champa St,Denver,CO,80202,E,Public,24 hours daily,1,,Non-Networked,39.742308,-104.997556,2024-12-10,2013-06-01,J1772,public,false,Free
City of Denver - Denver Justice Center Garage,490 W 14th Ave,Denver,CO,80204,E,Public,24 hours daily,1,,Non-Networked,39.738477,-104.994018,2024-09-12,2020-07-01,J1772,public,false,Free
City of Denver - Firehouse Parking Lot,1322 Blake St,Denver,CO,80204,E,Public,24 hours daily; pay lot,2,,Non-Networked,39.74816,-105.001949,2024-12-10,2020-07-01,J1772,public,false,
Denver International Airport - Garage West,8500 Peña Blvd,Denver,CO,80249,E,Public,24 hours daily; pay lot,10,,Non-Networked,39.849451,-104.676519,2025-12-12,2013-11-04,J1772,public,false,Free
American Lung Association - Denver Clean Cities,5600 Greenwood Plaza Blvd,Greenwood Village,CO,80111,E,Public,8am-5pm M-F; must obtain key from main office,2,,Non-Networked,39.614825,-104.898181,2024-09-12,2013-08-12,J1772,public,false,Free
Ken's Automotive Repair,1219 N College Ave,Fort Collins,CO,80524,E,Public,"7:30am-5pm M-F, 8am-3pm Sat",1,,Non-Networked,40.603108,-105.077107,2025-11-13,2014-02-01,J1772,public,false,$0.70 per kWh
Dellenbach Motors,3111 S College Ave,Fort Collins,CO,80525,E,Private,Service center use only,2,,Non-Networked,40.54451,-105.078635,2025-12-12,2014-02-01,J1772,private,,
Colorado State University - Powerhouse Energy Campus,430 N College Ave,Fort Collins,CO,80524,E,Public,24 hours daily,2,,Non-Networked,40.594292,-105.075657,2024-12-10,2014-02-01,J1772,public,false,Free
Colorado Mountain College - Carbondale,690 Colorado Ave,Carbondale,CO,81623,E,Public,8am-9pm daily; charging not available 4pm-9pm M-Th,2,,Non-Networked,39.401649,-107.214095,2024-01-09,2014-06-12,J1772,public,false,Free
Colorado Mountain College - Breckenridge,107 Dennison Placer Rd,Breckenridge,CO,84024,E,Public,7am-9pm daily,2,,Non-Networked,39.513986,-106.050975,2024-01-09,2014-06-12,J1772,public,false,Free
Colorado Mountain College - Rifle,3695 Airport Rd,Rifle,CO,81650,E,Public,7am-9pm daily,2,,Non-Networked,39.525883,-107.745102,2024-01-09,2014-06-23,J1772,public,false,Free
Colorado Mountain College - Leadville,901 S Highway 24,Leadville,CO,80461,E,Public,7am-9pm daily,1,,Non-Networked,39.23623432378932,-106.3024708889771,2024-01-09,2014-06-12,J1772,public,false,Free
City of Denver - Wellington E Webb Municipal Building,201 W Colfax Ave,Denver,CO,80202,E,Private - Government only,City fleet use only,12,,Non-Networked,39.740822,-104.990052,2024-01-09,2010-04-14,J1772,private,,
Town of Parachute - Rest Area,170 Green St,Parachute,CO,81623,E,Public,24 hours daily,1,,Non-Networked,39.455231,-108.050053,2025-01-13,2014-06-13,J1772,public,false,Free
City of Montrose - Centennial Plaza,501 S 1st St,Montrose,CO,81401,E,Public,24 hours daily,2,,Non-Networked,38.479653,-107.874886,2025-12-12,2014-05-27,J1772,public,false,Free
COLO STATE UNIV LAUREL 3,933-951 W Laurel St,Fort Collins,CO,80521,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,2,,ChargePoint Network,40.577977,-105.093136,2026-07-08,2014-09-03,J1772,public,false,
Mike Maroone Chevrolet South,230 N Academy Blvd,Colorado Springs,CO,80909,E,Public - Call ahead,Dealership business hours; for customer use only,2,,Non-Networked,38.836576,-104.758621,2025-01-13,2014-07-12,J1772,public,true,Free
Larry H Miller Nissan - 104,2400 W 104th Ave,Denver,CO,80234,E,Public - Call ahead,Dealership business hours,1,1,Non-Networked,39.884639,-105.016018,2026-01-13,2011-11-29,CHADEMO J1772 J1772COMBO,public,false,Free
Greeley Nissan,2625 35th Ave,Greeley,CO,80634,E,Private,For service center use only,1,,Non-Networked,40.394632,-104.736082,2026-01-13,2012-01-31,J1772,private,,Free
Larry H Miller Nissan,1320 Plum Valley Ln,Highlands Ranch,CO,80129,E,Private,Service center use only,1,,Non-Networked,39.560793,-105.004877,2026-01-13,2013-02-04,J1772,private,,Free
O'Meara Ford Center,400 W 104th Ave,Northglenn,CO,80234,E,Private,Service center use only,1,,Non-Networked,39.884699,-104.991004,2026-01-13,2014-08-01,J1772,private,,
Colorado Mountain College - Glenwood Springs,815 Cooper St,Glenwood Springs,CO,81601,E,Public,5am-7pm daily,1,,Non-Networked,39.54647,-107.323692,2024-01-09,2014-09-01,J1772,public,false,Free
Eagle County,500 Broadway St,Eagle,CO,81631,E,Public,24 hours daily,,1,Non-Networked,39.652053,-106.827821,2023-01-10,2019-07-25,CHADEMO J1772COMBO,public,false,Free
CCD CHARGING JUSTICE CENTER,490 W 14th Ave,Denver,CO,80204,E,Public,24 hours daily,2,,ChargePoint Network,39.737959,-104.993949,2026-07-08,2015-01-28,J1772,public,false,
Colorado Mountain College - Steamboat Springs,1275 Crawford Ave,Steamboat Springs,CO,80487,E,Public,24 hours daily,1,,Non-Networked,40.490191,-106.839184,2024-01-09,2015-01-01,J1772,public,false,Free
Town of Kremmling - Town Park,203 Park Ave,Kremmling,CO,80459,E,Public,24 hours daily,2,,Non-Networked,40.059492,-106.392923,2024-11-06,2015-05-18,J1772,public,false,Free
Solar Energy International,39845 Mathews Ln,Paonia,CO,81428,E,Public,24 hours daily,1,,Non-Networked,38.855424,-107.614795,2025-12-12,2015-06-01,J1772,public,false,Free
Mulberry Pool,424 W Mulberry Ave,Fort Collins,CO,80521,E,Public - Credit card at all times,24 hours daily,2,,Non-Networked,40.58194721278001,-105.0840198970978,2024-11-06,2015-06-01,J1772,public,false,$1 per hour
North County,4559 E Academy Blvd,Denver,CO,80230,E,Public,24 hours daily,2,,Non-Networked,39.71945505950119,-104.8973917586578,2025-12-12,2014-10-01,J1772,public,false,
Town of Winter Park - Parking Garage,50 Vasquez Rd,Winter Park,CO,80482,E,Public,24 hours daily,2,,Non-Networked,39.917213,-105.785621,2024-11-06,2015-07-01,J1772,public,false,Free
Parker Adventist Hospital,9395 Crown Crest Blvd,Parker,CO,80138,E,Public,24 hours daily,2,,Non-Networked,39.548267,-104.770933,2024-01-09,2015-06-01,J1772,public,false,Free
Parker Adventist Hospital,9395 Crown Crest Blvd,Parker,CO,80138,E,Private,Employee use only,2,,Non-Networked,39.548267,-104.770933,2024-01-09,2015-06-01,J1772,private,,Free
Alpine Bank,225 N 5th St,Grand Junction,CO,81501,E,Public,24 hours daily,2,,Non-Networked,39.068851,-108.565155,2025-11-13,2015-04-14,J1772,public,false,Free
Grace Place,375 Meadowlark Dr,Berthoud,CO,80513,E,Public,6am-6pm daily,2,,Non-Networked,40.30339304,-105.1046104105,2025-01-13,2015-10-12,J1772,public,false,Free
Frederick High School,5690 Tipple Pkwy,Frederick,CO,80530,E,Public,24 hours daily,2,,Non-Networked,40.1023,-104.947547,2024-11-06,2015-06-04,J1772,public,false,Free
Town of Frederick,101 6th St,Frederick,CO,80530,E,Public,24 hours daily,2,,Non-Networked,40.098005,-104.9411,2024-11-06,2015-06-04,J1772,public,false,Free
Colorado State University - Facilities Service Center South,East Dr,Fort Collins,CO,80523,E,Private,Fleet use only,2,,Non-Networked,40.570085,-105.080217,2024-12-10,2014-02-01,J1772,private,,Free
Pitkin County,76 Service Center Rd,Aspen,CO,81611,E,Private,24 hours daily,4,2,Non-Networked,39.225683,-106.865041,2023-02-13,2015-11-01,J1772 J1772COMBO,private,,Free
Sonic Drive-In,10051 Wadsworth Pkwy,Westminster,CO,80021,E,Public,24 hours daily,2,,Non-Networked,39.878705,-105.097595,2024-11-06,2016-03-14,J1772,public,false,Free
GRAND LAKE 1125 LAVE AVE 1,1117 Lake Ave,Grand Lake,CO,80447,E,Public,24 hours daily,2,,ChargePoint Network,40.250664,-105.817267,2026-07-08,2016-06-01,J1772,public,false,
COLO STATE UNIV SOUTH COLLEGE 3,121 W Pitkin St,Fort Collins,CO,80524,E,Public,24 hours daily,2,,ChargePoint Network,40.570711,-105.078411,2026-07-08,2016-07-02,J1772,public,false,
COLO STATE UNIV SOUTH COLLEGE 1,119-181 W Pitkin St,Fort Collins,CO,80524,E,Public,24 hours daily,2,,ChargePoint Network,40.570714,-105.078378,2026-07-08,2016-07-02,J1772,public,false,
SDCEA MAIN STREET,S Railroad St,Buena Vista,CO,81211,E,Public,24 hours daily,2,,ChargePoint Network,38.841903,-106.130572,2026-07-08,2016-07-09,J1772,public,false,
GONDOLA SQUARE GONDOLA PARKING,2307-2313 Mt Werner Cir,Steamboat Springs,CO,80487,E,Public,24 hours daily,2,,ChargePoint Network,40.458043,-106.805745,2026-07-08,2016-07-22,J1772,public,false,
Mountain Valley Developmental Services,700 Mount Sopris Dr,Glenwood Springs,CO,81601,E,Private,Employee use only,2,,Non-Networked,39.50915211,-107.3175202,2025-01-13,2016-08-08,J1772,private,,
"Brendle Group, Inc",212 W Mulberry St,Fort Collins,CO,80521,E,Public,8am-5pm M-Th; see main office for access,2,,Non-Networked,40.581824,-105.079708,2025-12-12,2015-05-01,J1772,public,false,Free
Heart of the Rockies Regional Medical Center,1000 Rush Dr,Salida,CO,81201,E,Public,24 hours daily,2,,Non-Networked,38.542959,-106.008655,2024-11-06,2015-10-01,J1772,public,false,Free
Avalon Theatre,645 Main St,Grand Junction,CO,81501,E,Public,24 hours daily,2,,Non-Networked,39.067005,-108.561516,2023-12-13,2015-07-01,J1772,public,false,Free
UCAR & NCAR FOOTHILLS LAB,3375 Mitchell Ln,Boulder,CO,80301,E,Public,24 hours daily,2,,ChargePoint Network,40.036534,-105.242994,2026-07-08,2016-08-30,J1772,public,false,
UCAR & NCAR CENTER GREEN 1,3080 Center Green Dr,Boulder,CO,80301,E,Public,24 hours daily,2,,ChargePoint Network,40.031973,-105.245526,2026-07-08,2016-08-30,J1772,public,false,
Third Street Center,520 S 3rd St,Carbondale,CO,81623,E,Public,24 hours daily,4,,AMPUP,39.395289,-107.209921,2024-11-06,2016-08-31,J1772,public,false,$0.15 per kWh
ONE BOULDER PLZ 1301,1301 Canyon Blvd,Boulder,CO,80302,E,Public,24 hours daily,2,,ChargePoint Network,40.016538,-105.277527,2026-07-08,2016-09-14,J1772,public,false,
ONE BOULDER PLZ 1801 1,1801 13th St,Boulder,CO,80302,E,Public,24 hours daily,2,,ChargePoint Network,40.016622,-105.278551,2026-07-08,2016-09-14,J1772,public,false,
Roaring Fork High School,2270 Hwy 133,Carbondale,CO,81623,E,Public,"During school hours for staff use only, after school hours available to the public",2,,Non-Networked,39.387753,-107.203871,2025-12-12,2015-08-01,J1772,public,true,Free
Town of Snowmass Village,2909 Brush Creek Rd,Snowmass Village,CO,81615,E,Public,24 hours daily,2,,Non-Networked,39.220459,-106.93193,2021-11-04,2014-09-01,J1772,public,false,Free
MOLLYS STATION 1,5809 W 44th Ave,Denver,CO,80212,E,Public,24 hours daily,2,,ChargePoint Network,39.77886,-105.059865,2026-07-08,2016-10-04,J1772,public,false,
Colorado State University - Housing Services Center,1624 W Plum St,Fort Collins,CO,80523,E,Private,Fleet use only,1,,Non-Networked,40.577692,-105.103101,2025-05-12,2016-10-01,J1772,private,,
City of Boulder - Atrium Building,1300 Canyon Blvd,Boulder,CO,80302,E,Public,Employee use only 8am-5pm; available to public after hours,4,,Non-Networked,40.015925,-105.27745,2024-11-06,2016-12-15,J1772,public,true,Free
Colorado Mountain College - Vail Valley,150 Miller Ranch Rd,Edwards,CO,81632,E,Public,8am-5pm daily,2,,Non-Networked,39.645807,-106.588043,2024-01-09,2016-10-27,J1772,public,false,Free
Colorado Mountain College - Spring Valley at Glenwood Springs,3000 County Rd 114,Glenwood Springs,CO,81601,E,Public,8am-5pm daily,2,,Non-Networked,39.467595,-107.252523,2024-01-09,2016-10-27,J1772,public,false,Free
Colorado Mountain College - Glenwood Springs,1402 Blake Ave,Glenwood Springs,CO,81601,E,Public,8am-5pm daily,2,,Non-Networked,39.538781,-107.3219,2024-01-09,2016-10-27,J1772,public,false,Free
Colorado Mountain College - Aspen,255 Sage Way,Aspen,CO,81611,E,Public,8am-5pm daily,2,,Non-Networked,39.223415,-106.86404,2024-01-09,2016-10-27,J1772,public,false,Free
DEPOT SQ BLDR JUNCTION ST1,2280 Junction Pl,Boulder,CO,80301,E,Public,24 hours daily,2,,ChargePoint Network,40.024197,-105.251761,2026-07-08,2017-01-11,J1772,public,false,
REEF FLATIRON 55TH ST. ST1,2425 55th St,Boulder,CO,80301,E,Public,24 hours daily,2,,ChargePoint Network,40.023166,-105.225934,2026-07-08,2017-01-12,J1772,public,false,
3223 ARAPAHOE ARAPAHOE ST2,3223 Arapahoe Ave,Boulder,CO,80303,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,2,,ChargePoint Network,40.014912,-105.251062,2026-07-08,2017-01-24,J1772,public,false,
MOLLYS STATION 2,4801 Fenton St,Denver,CO,80212,E,Public,24 hours daily,2,,ChargePoint Network,39.778976,-105.059883,2026-07-08,2017-01-30,J1772,public,false,
ONE BELLEVIEW 3RD FLOOR 1,7001 E Belleview Ave,Denver,CO,80237,E,Public,24 hours daily,2,,ChargePoint Network,39.624384,-104.904374,2026-07-08,2017-02-02,J1772,public,false,
KENT PLACE GAYLORD ST1,3465 S Gaylord Ct,Englewood,CO,80113,E,Public,24 hours daily,2,,ChargePoint Network,39.655176,-104.960152,2026-07-08,2017-02-28,J1772,public,false,
GRAND PEAKS LOHI GOLD ST1,2424 W Caithness Pl,Denver,CO,80211,E,Public,24 hours daily,2,,ChargePoint Network,39.760236,-105.016544,2026-07-08,2017-03-02,J1772,public,false,
Pueblo County Courthouse,215 W 10th St,Pueblo,CO,81003,E,Public,24 hours daily,2,,Non-Networked,38.276693,-104.609459,2024-01-09,2014-06-01,J1772,public,false,Free
STATION 1 FORT LUPTON REC,155-199 S Harrison Ave,Fort Lupton,CO,80621,E,Public,24 hours daily,2,,ChargePoint Network,40.079084,-104.806977,2026-07-08,2017-04-06,J1772,public,false,
ANSCHUTZ CAMPUS EAST LOT 1,E 17th Pl,Aurora,CO,80045,E,Public,24 hours daily,2,,ChargePoint Network,39.744143,-104.834091,2026-07-08,2017-04-26,J1772,public,false,
Centura Health - ER,750 Warner Dr,Golden,CO,80401,E,Public,24 hours daily; for guest and patient use only,2,,Non-Networked,39.72949,-105.21025,2025-12-12,2015-07-01,J1772,public,true,Free
Holiday Inn Express,17140 W Colfax Ave,Golden,CO,80401,E,Public,24 hours daily; for guest use only,4,,Non-Networked,39.722082,-105.192637,2025-11-13,2016-07-01,J1772,public,true,
Mike Maroone Chevrolet GMC,1415 Vista View Dr,Longmont,CO,80504,E,Private,,1,3,Non-Networked,40.159751,-105.034583,2025-05-12,2013-03-01,J1772 J1772COMBO,private,,
PARKING GARAGE SUGARCUBE P1,1555 Blake St,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.750433,-104.999804,2026-07-08,2017-05-03,J1772,public,false,
BOULDER COUNTY FAIRGRND PUBLIC,9595 Nelson Rd,Longmont,CO,80501,E,Public,24 hours daily,2,,ChargePoint Network,40.155958,-105.128971,2026-07-08,2017-05-09,J1772,public,false,
Montrose Memorial Hospital,800 S 3rd St,Montrose,CO,81401,E,Public,24 hours daily,2,,Non-Networked,38.480552,-107.868718,2024-11-06,2017-05-17,J1772,public,false,Free
AC GOVERNMENT 2,4430 S Adams County Pkwy,Brighton,CO,80601,E,Public,24 hours daily,2,,ChargePoint Network,39.922873,-104.81291,2026-07-08,2017-06-23,J1772,public,false,
Edwards Freedom Park,450 Miller Ranch Rd,Eagle,CO,81631,E,Public,24 hours daily,2,,Non-Networked,39.645781,-106.586701,2023-01-10,2017-08-01,J1772,public,false,Free
LOCHBUIE TOWN HALL,703 Co Rd 37,Brighton,CO,80603,E,Public,24 hours daily,2,,ChargePoint Network,40.01074,-104.716823,2026-07-08,2017-06-29,J1772,public,false,
PARKING SYSTEM CAB L1 A,130 S Nevada Ave,Colorado Springs,CO,80903,E,Public,24 hours daily,2,,ChargePoint Network,38.831807,-104.822392,2026-07-08,2017-07-07,J1772,public,false,
PARKING SYSTEM KIOWA L1 A,127 E Kiowa St,Colorado Springs,CO,80903,E,Public,24 hours daily,2,,ChargePoint Network,38.834599,-104.822207,2026-07-08,2017-07-07,J1772,public,false,
RMI IC STATION 3,22826 2 Rivers Rd,Basalt,CO,81621,E,Public,24 hours daily,2,,ChargePoint Network,39.368351,-107.038403,2026-07-08,2017-07-13,J1772,public,false,
DENVER PLACE DENVERPLACE02,999 18th St,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.74886,-104.991305,2026-07-08,2017-07-15,J1772,public,false,
CULTURAL STN 2 CULTURAL STN 2,55 W 12th Ave,Denver,CO,80204,E,Public,24 hours daily,2,,ChargePoint Network,39.736263,-104.98838,2026-07-08,2017-07-18,J1772,public,false,
GSD Global,397 Clark Ave,Paonia,CO,81428,E,Private,,2,,Non-Networked,38.869519,-107.585219,2025-12-12,2017-06-30,J1772 TESLA,private,,
SVVSD NIWOT ES,8778 Morton Rd,Longmont,CO,80503,E,Public,24 hours daily,2,,ChargePoint Network,40.099606,-105.147339,2026-07-08,2017-08-06,J1772,public,false,
AC HUMANSERVICES1,1200 W 120th Ave,Westminster,CO,80234,E,Public,24 hours daily,2,,ChargePoint Network,39.911293,-105.002236,2026-07-08,2017-09-06,J1772,public,false,
TOS COMMUNITY PARK1,1631 Coalton Rd,Superior,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.929913,-105.150607,2026-07-08,2017-10-05,J1772,public,false,
TOS FOUNDERS PARK1,Sycamore St,Superior,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.954902,-105.173354,2026-07-08,2017-10-07,J1772,public,false,
TOS TOWN HALL1,Park Pl,Superior,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.953549,-105.166117,2026-07-08,2017-10-07,J1772,public,false,
NREL Employee Parking Garage,15604 Denver W Pkwy,Golden,CO,80401,E,Private - Government only,,108,,Non-Networked,39.738911,-105.173323,2025-12-12,2017-10-15,J1772,private,,
BOULDER COUNTY PARKS PUBLIC 1,5201 St Vrain Rd,Longmont,CO,80503,E,Public,24 hours daily,2,,ChargePoint Network,40.169549,-105.166605,2026-07-08,2017-10-10,J1772,public,false,
MAA PROMENADE STATION 1,10851-10999 Westminster Blvd,Westminster,CO,80020,E,Public,24 hours daily,2,,ChargePoint Network,39.894825,-105.07406,2026-07-08,2017-10-13,J1772,public,false,
City of Denver - Wellington E Webb Municipal Building,201 W Colfax Ave,Denver,CO,80202,E,Private - Government only,Employee use only,1,,Non-Networked,39.740806,-104.9900639,2024-01-09,2017-04-01,J1772,private,,Free
City of Denver - Wellington E Webb Municipal Building,201 W Colfax Ave,Denver,CO,80202,E,Private - Government only,Employee use only,5,,Non-Networked,39.741013,-104.990465,2024-01-09,2017-01-01,J1772,private,,$15 per month
IRONHORSE IRONHORSE,1600 Iron Horse Dr,Longmont,CO,80501,E,Public,24 hours daily,2,,ChargePoint Network,40.159432,-105.06196,2026-07-08,2017-10-31,J1772,public,false,
CITY OF ASPEN SPRING ST L2,208 S Spring St,Aspen,CO,81611,E,Public,24 hours daily,2,,ChargePoint Network,39.188611,-106.816077,2026-07-08,2017-11-14,J1772,public,false,
MERCY HEALTH STATION 1,1010 Three Springs Avenue,Durango,CO,81301,E,Public,24 hours daily,2,,ChargePoint Network,37.235105,-107.825745,2026-07-08,2017-11-23,J1772,public,false,
Denver International Airport - 61st and Pena,6195 N Panasonic Way,Denver,CO,80249,E,Public,24 hours daily; pay lot,,,Non-Networked,39.849363,-104.673806,2025-12-12,2017-06-01,J1772,public,false,Free
TABOR CENTER HORACE,1201-1299 16th St,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.748823,-104.996585,2026-07-08,2017-12-16,J1772,public,false,
TABOR CENTER AUGUSTA,1200 17th St,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.748815,-104.996618,2026-07-08,2017-12-16,J1772,public,false,
CCD CHARGING CITY HALL 1,201-249 W 14th Ave,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.738527,-104.990586,2026-07-08,2017-12-16,J1772,public,false,
Town of Ridgway - Hartwell Park,201 N Railroad St,Ridgway,CO,81432,E,Public,24 hours daily,2,,Non-Networked,38.1525284247078,-107.7551088465576,2024-11-06,2017-12-15,J1772,public,false,Free
EchoPark Automotive,500 E 104th Ave,Thornton,CO,80233,E,Public - Call ahead,Dealership business hours; for customers only,2,,Non-Networked,39.883636,-104.979943,2024-11-06,2017-11-01,J1772,public,true,Free
EchoPark Automotive,10401 E Arapahoe Rd,Centennial,CO,80111,E,Public - Call ahead,Dealership business hours; dealership use only,1,,Non-Networked,39.595975,-104.867972,2024-11-06,2017-11-01,J1772,public,true,
EchoPark Automotive,1626 Jamboree Dr,Colorado Springs,CO,80920,E,Public - Call ahead,Dealership business hours; dealership use only,1,,Non-Networked,38.950347,-104.795662,2024-11-06,2017-11-01,J1772,public,true,
ESTES PARKING VIS PARKING E 1,691 N St Vrain Ave,Estes Park,CO,80517,E,Public,24 hours daily,2,,ChargePoint Network,40.377771,-105.513223,2026-07-08,2018-03-07,J1772,public,false,
