Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,South Colorado Springs Nissan,1333 S Academy Blvd,,Colorado Springs,CO,80916,,719-550-3030,E,,Private,,,,,,,1,,,Non-Networked,,GPS,38.812294,-104.756819,2026-01-13,46527,2026-02-02 23:16:24 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Woodmen Nissan,6840 Vincent Dr,,Colorado Springs,CO,80918,,719-234-1000,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,38.93113,-104.81125,2024-02-12,46528,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Woodmen Nissan,6840 Vincent Dr,,Colorado Springs,CO,80918,,719-234-1000,E,,Private,,,,,,,1,,,Non-Networked,,200-8,38.93113,-104.81125,2024-02-12,46529,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Nissan of Durango,20704 Highway 160,,Durango,CO,81303,,970-259-3940,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,37.269708,-107.907728,2024-02-12,46532,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Nissan of Durango,20704 Highway 160,,Durango,CO,81303,,970-259-3940,E,,Private,,,,,,,1,,,Non-Networked,,GPS,37.269708,-107.907728,2024-02-12,46533,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Greeley Nissan,2625 35th Ave,,Greeley,CO,80634,,970-353-5333,E,,Public,24 hours daily,,,,,,2,1,,Non-Networked,,GPS,40.394632,-104.736082,2026-01-13,46537,2026-02-02 23:16:24 UTC,P,,,2014-09-29,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Empire Lakewood Nissan,14707 W Colfax Ave,,Lakewood,CO,80401,,303-232-8881  855-900-7584,E,,Private,,,,,,,1,,,Non-Networked,,GPS,39.733046,-105.163697,2026-01-13,46539,2026-02-02 23:16:24 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Empire Littleton Nissan,5067 S Wadsworth Blvd,,Littleton,CO,80123,,720-458-8412,E,,Public,Dealership business hours,,,,,,,1,,IN_CHARGE,https://inchargeus.com,GPS,39.627559483,-105.092055202,2026-01-13,46541,2026-02-02 23:16:24 UTC,P,,,2023-07-13,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Empire Littleton Nissan,5067 S Wadsworth Blvd,,Littleton,CO,80123,,720-458-8412,E,,Private,,,,,,,1,1,,Non-Networked,,GPS,39.627559483,-105.092055202,2026-01-13,46542,2026-02-02 23:16:24 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Valley Nissan,1005 Ken Pratt Blvd,,Longmont,CO,80501,,303-776-0443,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.152003,-105.108652,2026-01-13,46544,2026-02-02 23:16:24 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Dave Solon Nissan,2525 W US Highway 50,,Pueblo,CO,81008,,719-545-4145,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,38.311741,-104.641029,2026-01-13,46545,2026-02-02 23:16:24 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Tynan's Nissan,5811 S College Ave,,Fort Collins,CO,80525,,970-282-1400,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.505679,-105.078143,2026-01-13,48369,2026-02-02 23:16:24 UTC,P,,,2012-01-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Red Rock Nissan,2582 Highway 6 and 50,,Grand Junction,CO,81501,,970-644-8020,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.074359,-108.572597,2024-02-12,50003,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Red Rock Nissan,2582 Highway 6 and 50,,Grand Junction,CO,81501,,970-644-8020,E,,Private,,,,,,,1,,,Non-Networked,,200-9,39.074359,-108.572597,2024-02-12,50004,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,City of Denver - Cultural Center Complex Garage,65 W 12th Ave,Located on level 3 by the elevator,Denver,CO,80204,,720-865-3164,E,,Public,Garage business hours; pay lot,,,,,,3,,,Non-Networked,,200-9,39.735935,-104.988403,2024-12-10,50065,2025-02-12 00:16:32 UTC,LG,,,2012-12-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Denver - Denver Performing Arts Center Garage,1055 13th St,Located on level 4 by the elevators,Denver,CO,80204,,720-865-3164,E,,Public,24 hours daily; pay lot,,,,,,4,,,Non-Networked,,GPS,39.743919,-104.998075,2024-12-10,50066,2025-02-12 00:16:32 UTC,LG,,,2012-12-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Adolfson & Peterson Construction,797 Ventura St,,Aurora,CO,80011,,,E,,Private,Employee and guest use only,,,,,,1,,,Non-Networked,,200-9,39.72887,-104.779764,2024-01-09,50159,2024-01-31 22:07:01 UTC,P,,,2012-11-26,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,true,
ELEC,Town of Carbondale - Town Hall,511 Colorado Ave,"Located on 4th St, just north of the intersection with Colorado Ave, near the flag pole",Carbondale,CO,81623,,970-963-2733,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,39.401918,-107.211389,2025-11-13,52101,2026-02-02 23:16:24 UTC,LG,,,2013-06-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Odell Brewing,800 E Lincoln,,Fort Collins,CO,80524,,970-498-9070,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,40.589483,-105.063519,2024-11-06,52620,2025-02-12 00:16:32 UTC,P,,,2013-07-01,,,,,J1772,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Loveland - Civic Center,500 E 3rd St,South Side of Parking Lot,Loveland,CO,80537,,970-962-3000,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,2,,,Non-Networked,,200-8,40.394378,-105.070159,2025-12-12,52642,2026-02-02 23:16:24 UTC,LG,,,2013-08-01,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Loveland - Public Library,300 Adams St,SE Corner of Parking Lot,Loveland,CO,80537,,970-962-3000,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,2,,,Non-Networked,,GPS,40.394126,-105.0691219,2025-11-13,52644,2026-02-02 23:16:24 UTC,LG,,,2021-06-01,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,LIBRARY,,,,,,,$0.20 per kWh,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Denver International Airport - Garage East,8500 Pena Blvd,"Located on level 1 in rows E, F, and R",Denver,CO,80249,,303-342-7275  303-342-4645,E,,Public,24 hours daily; pay lot,,,,,11,,,,Non-Networked,,200-9,39.849363,-104.673806,2025-12-12,52763,2026-02-02 23:16:24 UTC,P,,,2013-11-04,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Denver - Colorado Convention Center Garage,1104 Champa St,"Parking space 1081. Level P-1, half way down the level near the freight elevator",Denver,CO,80202,,720-865-3164,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,39.742308,-104.997556,2024-12-10,53944,2025-02-12 00:16:32 UTC,LG,,,2013-06-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Denver - Denver Justice Center Garage,490 W 14th Ave,"Level 2, at the top of the entrance ramp, SW corner",Denver,CO,80204,,720-865-3164,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,39.738477,-104.994018,2024-09-12,53945,2025-02-12 00:16:32 UTC,LG,,,2020-07-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Denver - Firehouse Parking Lot,1322 Blake St,Located in the Southwest corner of the lot,Denver,CO,80204,,720-865-3164,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,200-9,39.74816,-105.001949,2024-12-10,53946,2025-02-12 00:16:32 UTC,LG,,,2020-07-01,,,,,J1772,US,,,,Public,,public,,,PAY_LOT,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Denver International Airport - Garage West,8500 Peña Blvd,"Located on level 1 in rows E, F, and G",Denver,CO,80249,,303-342-4645,E,,Public,24 hours daily; pay lot,,,,,15,10,,,Non-Networked,,GPS,39.849451,-104.676519,2025-12-12,54068,2026-02-02 23:16:24 UTC,P,,,2013-11-04,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,American Lung Association - Denver Clean Cities,5600 Greenwood Plaza Blvd,,Greenwood Village,CO,80111,,303-388-4327,E,,Public,8am-5pm M-F; must obtain key from main office,,,,,,2,,,Non-Networked,,GPS,39.614825,-104.898181,2024-09-12,54069,2025-02-12 00:16:32 UTC,P,,,2013-08-12,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Ken's Automotive Repair,1219 N College Ave,Located by bike racks,Fort Collins,CO,80524,,970-484-6001,E,,Public,"7:30am-5pm M-F, 8am-3pm Sat",,,,,,1,,,Non-Networked,,200-9,40.603108,-105.077107,2025-11-13,61337,2026-02-02 23:16:24 UTC,P,,,2014-02-01,,,,,J1772,US,,,,Public,,public,,,AUTO_REPAIR,,,,,,,$0.70 per kWh,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Dellenbach Motors,3111 S College Ave,,Fort Collins,CO,80525,,,E,,Private,Service center use only,,,,,,2,,,Non-Networked,,200-9,40.54451,-105.078635,2025-12-12,61531,2026-02-02 23:16:24 UTC,P,,,2014-02-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Colorado State University - Powerhouse Energy Campus,430 N College Ave,,Fort Collins,CO,80524,,,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,40.594292,-105.075657,2024-12-10,61549,2026-03-06 20:36:12 UTC,SG,,,2014-02-01,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,true,
ELEC,Colorado Mountain College - Carbondale,690 Colorado Ave,,Carbondale,CO,81623,,970-963-2172,E,,Public,8am-9pm daily; charging not available 4pm-9pm M-Th,,,,,,2,,,Non-Networked,,200-8,39.401649,-107.214095,2024-01-09,62047,2024-01-31 22:07:01 UTC,P,,,2014-06-12,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Colorado Mountain College - Breckenridge,107 Dennison Placer Rd,,Breckenridge,CO,84024,,970-453-6757,E,,Public,7am-9pm daily,,,,,,2,,,Non-Networked,,GPS,39.513986,-106.050975,2024-01-09,62048,2024-01-31 22:07:01 UTC,P,,,2014-06-12,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Colorado Mountain College - Rifle,3695 Airport Rd,,Rifle,CO,81650,,970-625-6900,E,,Public,7am-9pm daily,,,,,,2,,,Non-Networked,,200-8,39.525883,-107.745102,2024-01-09,62049,2024-01-31 22:07:01 UTC,P,,,2014-06-23,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Colorado Mountain College - Leadville,901 S Highway 24,,Leadville,CO,80461,,719-486-2015,E,,Public,7am-9pm daily,,,,,,1,,,Non-Networked,,GPS,39.23623432378932,-106.3024708889771,2024-01-09,62050,2024-01-31 22:07:01 UTC,P,,,2014-06-12,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Denver - Wellington E Webb Municipal Building,201 W Colfax Ave,"P-1, Fleet Motor Center",Denver,CO,80202,,,E,,Private - Government only,City fleet use only,,,,,,12,,,Non-Networked,,200-9,39.740822,-104.990052,2024-01-09,62186,2024-01-31 22:07:01 UTC,LG,,,2010-04-14,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Town of Parachute - Rest Area,170 Green St,Green Street and Highway 6,Parachute,CO,81623,,970-285-7630,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,39.455231,-108.050053,2025-01-13,62285,2025-02-12 00:16:32 UTC,LG,,,2014-06-13,,,,,J1772,US,,,,Public,,public,,,REST_STOP,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Montrose - Centennial Plaza,501 S 1st St,Located in public parking lot on the East side of the Centennial Plaza and the Montrose City Hall,Montrose,CO,81401,,970-240-1400,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,38.479653,-107.874886,2025-12-12,62391,2026-02-02 23:16:24 UTC,LG,,,2014-05-27,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,COLO STATE UNIV LAUREL 3,933-951 W Laurel St,,Fort Collins,CO,80521,,888-758-4389,T,2026-06-30,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.577977,-105.093136,2026-07-08,63185,2026-07-08 02:01:01 UTC,,,,2014-09-03,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Mike Maroone Chevrolet South,230 N Academy Blvd,Located at the corner of Bijou and Academy,Colorado Springs,CO,80909,,719-596-3040,E,,Public - Call ahead,Dealership business hours; for customer use only,,,,,,2,,,Non-Networked,,GPS,38.836576,-104.758621,2025-01-13,63373,2025-02-12 00:16:32 UTC,P,,,2014-07-12,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Larry H Miller Nissan - 104,2400 W 104th Ave,,Denver,CO,80234,,303-469-1721  855-900-7584,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,39.884639,-105.016018,2026-01-13,63407,2026-02-02 23:16:24 UTC,P,,,2011-11-29,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Greeley Nissan,2625 35th Ave,,Greeley,CO,80634,,970-353-5333,E,,Private,For service center use only,,,,,,1,,,Non-Networked,,GPS,40.394632,-104.736082,2026-01-13,63409,2026-02-02 23:16:24 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Larry H Miller Nissan,1320 Plum Valley Ln,,Highlands Ranch,CO,80129,,720-274-5200,E,,Private,Service center use only,,,,,,1,,,Non-Networked,,GPS,39.560793,-105.004877,2026-01-13,63410,2026-02-02 23:16:24 UTC,P,,,2013-02-04,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,O'Meara Ford Center,400 W 104th Ave,Located in the service department,Northglenn,CO,80234,,,E,,Private,Service center use only,,,,,,1,,,Non-Networked,,200-9,39.884699,-104.991004,2026-01-13,63705,2026-02-02 23:16:24 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Colorado Mountain College - Glenwood Springs,815 Cooper St,,Glenwood Springs,CO,81601,,970-945-8405,E,,Public,5am-7pm daily,,,,,,1,,,Non-Networked,,GPS,39.54647,-107.323692,2024-01-09,64367,2024-01-31 22:07:01 UTC,P,,,2014-09-01,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Eagle County,500 Broadway St,Intersection of Broadway & 5th St.,Eagle,CO,81631,,970-328-8766,E,,Public,24 hours daily,,,,,,,1,,Non-Networked,,200-8,39.652053,-106.827821,2023-01-10,64699,2025-12-03 17:24:31 UTC,LG,,,2019-07-25,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,CCD CHARGING JUSTICE CENTER,490 W 14th Ave,Enter garage from Delaware,Denver,CO,80204,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,39.737959,-104.993949,2026-07-08,65434,2026-07-08 01:53:08 UTC,,,,2015-01-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Colorado Mountain College - Steamboat Springs,1275 Crawford Ave,,Steamboat Springs,CO,80487,,970-870-4444,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,40.490191,-106.839184,2024-01-09,66534,2024-01-31 22:07:01 UTC,SG,,,2015-01-01,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Town of Kremmling - Town Park,203 Park Ave,,Kremmling,CO,80459,,970-724-3249,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,40.059492,-106.392923,2024-11-06,67343,2025-02-12 00:16:32 UTC,LG,,,2015-05-18,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Solar Energy International,39845 Mathews Ln,,Paonia,CO,81428,,970-527-7657,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,38.855424,-107.614795,2025-12-12,67763,2026-02-02 23:16:24 UTC,P,,,2015-06-01,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,SOLAR,false,,,,,,,,LD,false,
