波次,交付窗口,SKU编码,SKU名称,渠道,预测数量,已确认数量,待定金数量,数量单位,每单位折算盒数,近三期预测MAPE百分比,近三期取消率百分比,现货成品盒数,积压订单盒数,预测版本,刷新时间,数据责任人,备注
W2,2026-08-31至2026-09-06,DL03,双黄莲蓉,企业团购,760,520,90,套,8,9.8,1.0,0,0,FV0717,2026-07-17 17:00,陈拓,大客户名单已锁定七成
W2,2026-08-31至2026-09-06,TJ04,茶香桃山,直营网点,2300,1380,0,盒,1,24.2,3.4,0,0,FV0718,2026-07-18 09:10,周宁,新品试吃反馈分化
W2,2026-08-31至2026-09-06,TJ04,茶香桃山,电商预售,3900,2240,0,盒,1,31.6,6.8,0,190,FV0718,2026-07-18 09:15,林可,达人排期只确认一半
W2,2026-08-31至2026-09-06,TJ04,茶香桃山,企业团购,420,230,80,套,6,28.4,2.5,0,0,FV0717,2026-07-17 17:00,陈拓,客户可在八月五日前换款
W3,2026-09-07至2026-09-13,MC01,流心奶黄,直营网点,6300,3980,0,盒,1,16.8,2.6,0,180,FV0718,2026-07-18 09:10,周宁,预测含跨店调拨需求
W3,2026-09-07至2026-09-13,MC01,流心奶黄,电商预售,12200,7210,0,盒,1,18.4,4.8,0,460,FV0718,2026-07-18 09:15,林可,主直播间资源确认
W3,2026-09-07至2026-09-13,MC01,流心奶黄,企业团购,1480,940,360,套,8,11.2,1.5,0,0,FV0717,2026-07-17 17:00,陈拓,待定金订单占比偏高
W3,2026-09-07至2026-09-13,WF02,低糖五仁,直营网点,5100,3210,0,盒,1,14.6,2.1,0,120,FV0718,2026-07-18 09:10,周宁,养老社区团单转门店提货
W3,2026-09-07至2026-09-13,WF02,低糖五仁,电商预售,6900,3950,0,盒,1,22.5,5.6,0,210,FV0718,2026-07-18 09:15,林可,详情页改版在七月二十五日上线
W3,2026-09-07至2026-09-13,WF02,低糖五仁,企业团购,1040,650,180,套,6,13.9,1.2,0,0,FV0717,2026-07-17 17:00,陈拓,六盒装礼盒
W3,2026-09-07至2026-09-13,DL03,双黄莲蓉,直营网点,5700,3720,0,盒,1,12.7,1.8,0,100,FV0718,2026-07-18 09:10,周宁,高销量门店保底量已锁
W3,2026-09-07至2026-09-13,DL03,双黄莲蓉,电商预售,8100,5180,0,盒,1,17.1,3.9,0,230,FV0718,2026-07-18 09:15,林可,礼赠场景素材已上线
W3,2026-09-07至2026-09-13,DL03,双黄莲蓉,企业团购,1320,880,240,套,8,9.8,1.0,0,0,FV0717,2026-07-17 17:00,陈拓,八盒装礼盒
W3,2026-09-07至2026-09-13,TJ04,茶香桃山,直营网点,3600,2080,0,盒,1,24.2,3.4,0,80,FV0718,2026-07-18 09:10,周宁,新品复购样本仍少
W3,2026-09-07至2026-09-13,TJ04,茶香桃山,电商预售,6100,3360,0,盒,1,31.6,6.8,0,270,FV0718,2026-07-18 09:15,林可,达人带货区间波动大
W3,2026-09-07至2026-09-13,TJ04,茶香桃山,企业团购,720,370,150,套,6,28.4,2.5,0,0,FV0717,2026-07-17 17:00,陈拓,试吃客户尚未全部回签
W4,2026-09-14至2026-09-20,MC01,流心奶黄,直营网点,7800,4620,0,盒,1,16.8,2.6,0,320,FV0718,2026-07-18 09:10,周宁,最后补货波次
W4,2026-09-14至2026-09-20,MC01,流心奶黄,电商预售,15600,8460,0,盒,1,18.4,4.8,0,710,FV0718,2026-07-18 09:15,林可,峰值日流量系数一点三五
W4,2026-09-14至2026-09-20,MC01,流心奶黄,企业团购,1960,1160,520,套,8,11.2,1.5,0,0,FV0717,2026-07-17 17:00,陈拓,最晚九月十日锁单
W4,2026-09-14至2026-09-20,WF02,低糖五仁,直营网点,6500,3890,0,盒,1,14.6,2.1,0,240,FV0718,2026-07-18 09:10,周宁,门店安全库存两天
W4,2026-09-14至2026-09-20,WF02,低糖五仁,电商预售,8700,4540,0,盒,1,22.5,5.6,0,330,FV0718,2026-07-18 09:15,林可,投放预算上限已批
W4,2026-09-14至2026-09-20,WF02,低糖五仁,企业团购,1380,790,310,套,6,13.9,1.2,0,0,FV0717,2026-07-17 17:00,陈拓,六盒装礼盒
W4,2026-09-14至2026-09-20,DL03,双黄莲蓉,直营网点,7200,4410,0,盒,1,12.7,1.8,0,190,FV0718,2026-07-18 09:10,周宁,重点门店提前两天到货
W4,2026-09-14至2026-09-20,DL03,双黄莲蓉,电商预售,10500,6030,0,盒,1,17.1,3.9,0,410,FV0718,2026-07-18 09:15,林可,组合购预计占三成
W4,2026-09-14至2026-09-20,DL03,双黄莲蓉,企业团购,1710,1040,360,套,8,9.8,1.0,0,0,FV0717,2026-07-17 17:00,陈拓,八盒装礼盒
W4,2026-09-14至2026-09-20,TJ04,茶香桃山,直营网点,4500,2480,0,盒,1,24.2,3.4,0,160,FV0718,2026-07-18 09:10,周宁,部分门店要求可退换
W4,2026-09-14至2026-09-20,TJ04,茶香桃山,电商预售,7900,4070,0,盒,1,31.6,6.8,0,390,FV0718,2026-07-18 09:15,林可,新品峰值缺少稳定基线
W4,2026-09-14至2026-09-20,TJ04,茶香桃山,企业团购,980,470,240,套,6,28.4,2.5,0,0,FV0717,2026-07-17 17:00,陈拓,客户可在锁单前换成五仁
